Date,Covid_Cases,Stock_Open,Vix
1/21/2020,0.33333,75.559998,12.85
1/22/2020,0.33333,77.07,12.91
1/23/2020,0.33333,75.669998,12.98
1/24/2020,0,74.970001,14.56
1/25/2020,0.33333,74.970001,14.56
1/26/2020,0.33333,74.970001,14.56
1/27/2020,1.33333,71.330002,18.23
1/28/2020,1,71,16.28
1/29/2020,1,72.510002,16.39
1/30/2020,0,73.099998,15.49
1/31/2020,0.33333,74.269997,18.84
2/1/2020,0.66667,74.269997,18.84
2/2/2020,1,74.269997,18.84
2/3/2020,1.66667,77.690002,17.97
2/4/2020,1.33333,91.040001,16.05
2/5/2020,1,85.769997,15.15
2/6/2020,0.33333,87,14.96
2/7/2020,0.33333,87.230003,15.47
2/8/2020,0.33333,87.230003,15.47
2/9/2020,0,87.230003,15.47
2/10/2020,0,89.089996,15.04
2/11/2020,0.33333,90,15.18
2/12/2020,0.33333,88.660004,13.74
2/13/2020,0.66667,87.610001,14.15
2/14/2020,0.66667,90.879997,13.68
2/15/2020,0.66667,90.879997,13.68
2/16/2020,0.33333,90.879997,13.68
2/17/2020,0,90.879997,13.68
2/18/2020,0,93.019997,14.83
2/19/2020,0,100.32,14.38
2/20/2020,0,104,15.56
2/21/2020,0.33333,104.029999,17.08
2/22/2020,6.66667,104.029999,17.08
2/23/2020,6.66667,104.029999,17.08
2/24/2020,6.33333,97.800003,25.03
2/25/2020,6,108.519997,27.85
2/26/2020,6,109.943001,27.56
2/27/2020,8,109.43,39.16
2/28/2020,2.33333,121.07,40.11
2/29/2020,4.33333,121.07,40.11
3/1/2020,3.33333,121.07,40.11
3/2/2020,9.66667,109.349998,33.42
3/3/2020,12.33333,114.550003,36.82
3/4/2020,18.66667,118.510002,31.99
3/5/2020,23.33333,110.25,39.62
3/6/2020,43.33333,119.650002,41.94
3/7/2020,71,119.650002,41.94
3/8/2020,91.33333,119.650002,41.94
3/9/2020,107,105,54.46
3/10/2020,138.66667,113.800003,47.3
3/11/2020,197.33333,108.410004,53.9
3/12/2020,252.66667,106.25,75.47
3/13/2020,303,113,57.83
3/14/2020,383,113,57.83
3/15/2020,546.33333,113,57.83
3/16/2020,703.66667,105,82.69
3/17/2020,829,107.330002,75.91
3/18/2020,1158.66667,111,76.45
3/19/2020,1880.33333,122.949997,72
3/20/2020,3196.33333,129,66.04
3/21/2020,4399,129,66.04
3/22/2020,5777.33333,129,66.04
3/23/2020,6985.33333,141.996994,61.59
3/24/2020,8939.33333,154,61.67
3/25/2020,9494.66667,140.104996,63.95
3/26/2020,11329.33333,140.509995,61
3/27/2020,13183,145.699997,65.54
3/28/2020,16485,145.699997,65.54
3/29/2020,18490.33333,145.699997,65.54
3/30/2020,19011.33333,160.759995,57.08
3/31/2020,19978,147.020004,53.54
4/1/2020,21651,144.5,57.06
4/2/2020,24565.33333,125.300003,50.91
4/3/2020,26973.33333,124.300003,46.8
4/4/2020,29449,124.300003,46.8
4/5/2020,31838.66667,124.300003,46.8
4/6/2020,30698.33333,113.629997,45.24
4/7/2020,30077,118.004997,46.7
4/8/2020,28857.33333,115.019997,43.35
4/9/2020,31499,117.800003,41.67
