Date,Daily Cases World,Daily Cases USA,Daily Deaths World,Daily deaths USA,Zoom Open Price (on next day),Vix,Cisco Open Price,Treasury Yield 10 Yrs,NASDAQ Index,Treasury Yield 13 week,S&P 500
31-Dec-19,27,0,0,0,66.38,13.78,47.540001,1.898,8918.740234,1.505,3215.179932
1-Jan-20,13.5,0,0,0,68.800003,13.78,47.540001,1.898,8918.740234,1.505,3215.179932
2-Jan-20,9,0,0,0,67.620003,12.47,48.060001,1.903,9039.459961,1.51,3244.669922
3-Jan-20,5.66667,0,0,0,67.620003,14.02,47.91,1.828,8976.429688,1.49,3226.360107
4-Jan-20,5.66667,0,0,0,67.620003,14.02,47.91,1.828,8976.429688,1.49,3226.360107
5-Jan-20,10.66667,0,0,0,66.629997,14.02,47.91,1.828,8976.429688,1.49,3226.360107
6-Jan-20,5,0,0,0,70.290001,13.85,47.139999,1.785,8943.5,1.478,3217.550049
7-Jan-20,5,0,0,0,71.809998,13.79,47.720001,1.797,9076.639648,1.505,3241.860107
8-Jan-20,0,0,0,0,73.989998,13.45,46.970001,1.823,9068.030273,1.493,3238.590088
9-Jan-20,0,0,0,0,73.080002,12.54,47.790001,1.869,9202.269531,1.495,3266.030029
10-Jan-20,0,0,0,0,73.080002,12.56,47.48,1.853,9232.950195,1.498,3281.810059
11-Jan-20,0,0,0.33333,0,73.080002,12.56,47.48,1.853,9232.950195,1.498,3281.810059
12-Jan-20,0,0,0.33333,0,73.889999,12.56,47.48,1.853,9232.950195,1.498,3281.810059
13-Jan-20,0.33333,0,0.33333,0,74.32,12.32,47.310001,1.834,9213.719727,1.5,3271.129883
14-Jan-20,0.33333,0,0,0,73.279999,12.39,47.959999,1.842,9270.610352,1.523,3285.350098
15-Jan-20,0.66667,0,0.33333,0,78,12.42,47.919998,1.795,9253.759766,1.528,3282.27002
16-Jan-20,0.33333,0,0.33333,0,76.660004,12.32,48.380001,1.781,9313.450195,1.523,3302.969971
17-Jan-20,2,0,0.33333,0,76.660004,12.1,49.310001,1.818,9392.370117,1.515,3323.659912
18-Jan-20,7.33333,0,0,0,76.660004,12.1,49.310001,1.818,9392.370117,1.515,3323.659912
19-Jan-20,52.66667,0,0.33333,0,76.660004,12.1,49.310001,1.818,9392.370117,1.515,3323.659912
20-Jan-20,57.66667,0,0.33333,0,75.559998,12.1,49.310001,1.818,9392.370117,1.515,3323.659912
21-Jan-20,103,0.33333,1.33333,0,77.07,12.85,48.959999,1.797,9361.070313,1.513,3321.030029
22-Jan-20,105,0.33333,4.66667,0,75.669998,12.91,49.279999,1.785,9413.610352,1.515,3330.02002
23-Jan-20,130.66667,0.33333,4.66667,0,74.970001,12.98,49,1.74,9377.719727,1.508,3315.77002
24-Jan-20,168.33333,0,6.66667,0,74.970001,14.56,49.220001,1.734,9446.209961,1.515,3333.100098
25-Jan-20,272,0.33333,8,0,74.970001,14.56,49.220001,1.734,9446.209961,1.515,3333.100098
26-Jan-20,464,0.33333,13,0,71.330002,14.56,49.220001,1.734,9446.209961,1.515,3333.100098
27-Jan-20,641,1.33333,18.33333,0,71,18.23,47.889999,1.612,9092.459961,1.485,3247.159912
28-Jan-20,1079,1,21.66667,0,72.510002,16.28,47.52,1.624,9201.820313,1.525,3255.350098
29-Jan-20,1348,1,25.33333,0,73.099998,16.39,47.970001,1.637,9318.259766,1.53,3289.459961
30-Jan-20,1667.66667,0,29.66667,0,74.269997,15.49,46.540001,1.57,9211.150391,1.51,3256.449951
31-Jan-20,1746.33333,0.33333,35.66667,0,74.269997,18.84,46.990002,1.55,9324.330078,1.518,3282.330078
1-Feb-20,1959.66667,0.66667,42.33333,0,74.269997,18.84,46.990002,1.55,9324.330078,1.518,3282.330078
2-Feb-20,2243.66667,1,45,0,77.690002,18.84,46.990002,1.55,9324.330078,1.518,3282.330078
3-Feb-20,2515.33333,1.66667,49.66667,0,91.040001,17.97,46.400002,1.555,9190.719727,1.513,3235.659912
4-Feb-20,2889.66667,1.33333,56,0,85.769997,16.05,47.220001,1.577,9398.389648,1.538,3280.610107
5-Feb-20,3322.66667,1,62.66667,0,87,15.15,48.330002,1.653,9574.099609,1.54,3324.909912
6-Feb-20,3633.66667,0.33333,67.66667,0,87.230003,14.96,48.689999,1.637,9540.980469,1.52,3344.919922
7-Feb-20,3625.33333,0.33333,70.33333,0,87.230003,15.47,48.599998,1.616,9526.639648,1.523,3335.540039
8-Feb-20,3470.33333,0.33333,77,0,87.230003,15.47,48.599998,1.616,9526.639648,1.523,3335.540039
9-Feb-20,3093,0,82.66667,0,89.089996,15.47,48.599998,1.616,9526.639648,1.523,3335.540039
10-Feb-20,3016.33333,0,90.66667,0,90,15.04,47.990002,1.57,9493.629883,1.515,3318.280029
11-Feb-20,2724,0.33333,98,0,88.660004,15.18,49.389999,1.595,9680.889648,1.535,3365.870117
12-Feb-20,2541.66667,0.33333,100.66667,0,87.610001,13.74,49.43,1.625,9688.599609,1.535,3370.5
13-Feb-20,6596,0.66667,153.33333,0,90.879997,14.15,47.150002,1.602,9657.040039,1.533,3365.899902
14-Feb-20,7146,0.66667,121.66667,0,90.879997,13.68,47.16,1.599,9728.900391,1.535,3378.080078
15-Feb-20,7308.66667,0.66667,137.33333,0,90.879997,13.68,47.16,1.599,9728.900391,1.535,3378.080078
16-Feb-20,2979,0.33333,99.66667,0,90.879997,13.68,47.16,1.599,9728.900391,1.535,3378.080078
17-Feb-20,2263,0,130.66667,0,93.019997,13.68,47.16,1.599,9728.900391,1.535,3378.080078
