Date,Open,High,Low,Close,Adj Close,Volume
2019-12-02,1.833000,1.854000,1.821000,1.836000,1.836000,0
2019-12-03,1.788000,1.788000,1.693000,1.709000,1.709000,0
2019-12-04,1.733000,1.791000,1.733000,1.781000,1.781000,0
2019-12-05,1.772000,1.822000,1.772000,1.797000,1.797000,0
2019-12-06,1.795000,1.864000,1.790000,1.842000,1.842000,0
2019-12-08,null,null,null,null,null,null
2019-12-09,1.828000,1.833000,1.807000,1.829000,1.829000,0
2019-12-10,1.810000,1.849000,1.805000,1.833000,1.833000,0
2019-12-11,1.830000,1.836000,1.783000,1.790000,1.790000,0
2019-12-12,1.793000,1.924000,1.778000,1.897000,1.897000,0
2019-12-13,1.878000,1.906000,1.816000,1.819000,1.819000,0
2019-12-15,null,null,null,null,null,null
2019-12-16,1.849000,1.894000,1.845000,1.892000,1.892000,0
2019-12-17,1.861000,1.894000,1.856000,1.889000,1.889000,0
2019-12-18,1.891000,1.934000,1.884000,1.924000,1.924000,0
2019-12-19,1.947000,1.947000,1.898000,1.908000,1.908000,0
2019-12-20,1.935000,1.940000,1.915000,1.917000,1.917000,0
2019-12-22,null,null,null,null,null,null
2019-12-23,1.912000,1.940000,1.898000,1.935000,1.935000,0
2019-12-24,null,null,null,null,null,null
2019-12-26,1.912000,1.921000,1.896000,1.905000,1.905000,0
2019-12-27,1.893000,1.893000,1.870000,1.874000,1.874000,0
2019-12-29,null,null,null,null,null,null
2019-12-30,1.923000,1.940000,1.895000,1.895000,1.895000,0
2019-12-31,1.898000,1.930000,1.895000,1.919000,1.919000,0
2020-01-02,1.903000,1.903000,1.851000,1.882000,1.882000,0
2020-01-03,1.828000,1.840000,1.786000,1.788000,1.788000,0
2020-01-05,null,null,null,null,null,null
2020-01-06,1.785000,1.816000,1.766000,1.811000,1.811000,0
2020-01-07,1.797000,1.828000,1.797000,1.827000,1.827000,0
2020-01-08,1.823000,1.876000,1.802000,1.874000,1.874000,0
2020-01-09,1.869000,1.900000,1.851000,1.858000,1.858000,0
2020-01-10,1.853000,1.863000,1.816000,1.825000,1.825000,0
2020-01-12,null,null,null,null,null,null
2020-01-13,1.834000,1.858000,1.834000,1.848000,1.848000,0
2020-01-14,1.842000,1.853000,1.813000,1.818000,1.818000,0
2020-01-15,1.795000,1.802000,1.780000,1.788000,1.788000,0
2020-01-16,1.781000,1.820000,1.780000,1.809000,1.809000,0
2020-01-17,1.818000,1.850000,1.816000,1.836000,1.836000,0
2020-01-19,null,null,null,null,null,null
2020-01-21,1.797000,1.797000,1.766000,1.769000,1.769000,0
2020-01-22,1.785000,1.785000,1.759000,1.769000,1.769000,0
2020-01-23,1.740000,1.752000,1.715000,1.740000,1.740000,0
2020-01-24,1.734000,1.739000,1.670000,1.681000,1.681000,0
2020-01-26,null,null,null,null,null,null
2020-01-27,1.612000,1.627000,1.605000,1.605000,1.605000,0
2020-01-28,1.624000,1.655000,1.613000,1.641000,1.641000,0
2020-01-29,1.637000,1.637000,1.589000,1.594000,1.594000,0
2020-01-30,1.570000,1.587000,1.534000,1.558000,1.558000,0
2020-01-31,1.550000,1.556000,1.512000,1.520000,1.520000,0
2020-02-02,null,null,null,null,null,null
2020-02-03,1.555000,1.575000,1.515000,1.520000,1.520000,0
2020-02-04,1.577000,1.618000,1.575000,1.603000,1.603000,0
2020-02-05,1.653000,1.656000,1.628000,1.649000,1.649000,0
2020-02-06,1.637000,1.668000,1.637000,1.644000,1.644000,0
2020-02-07,1.616000,1.635000,1.571000,1.578000,1.578000,0
2020-02-09,null,null,null,null,null,null
2020-02-10,1.570000,1.575000,1.544000,1.547000,1.547000,0
2020-02-11,1.595000,1.601000,1.573000,1.590000,1.590000,0
2020-02-12,1.625000,1.639000,1.618000,1.630000,1.630000,0
2020-02-13,1.602000,1.626000,1.600000,1.617000,1.617000,0
2020-02-14,1.599000,1.605000,1.573000,1.588000,1.588000,0
2020-02-16,null,null,null,null,null,null
2020-02-18,1.544000,1.576000,1.541000,1.556000,1.556000,0
2020-02-19,1.563000,1.587000,1.556000,1.570000,1.570000,0
2020-02-20,1.537000,1.548000,1.507000,1.525000,1.525000,0
2020-02-21,1.485000,1.492000,1.439000,1.471000,1.471000,0
2020-02-23,null,null,null,null,null,null
2020-02-24,1.396000,1.402000,1.352000,1.377000,1.377000,0
2020-02-25,1.374000,1.377000,1.307000,1.330000,1.330000,0
2020-02-26,1.369000,1.381000,1.302000,1.310000,1.310000,0
2020-02-27,1.272000,1.327000,1.243000,1.299000,1.299000,0
2020-02-28,1.211000,1.223000,1.127000,1.127000,1.127000,0
2020-03-01,null,null,null,null,null,null
2020-03-02,1.067000,1.103000,1.059000,1.088000,1.088000,0
2020-03-03,1.130000,1.163000,0.908000,1.010000,1.010000,0
2020-03-04,0.992000,1.015000,0.951000,0.992000,0.992000,0
2020-03-05,0.952000,0.957000,0.899000,0.926000,0.926000,0
2020-03-06,0.714000,0.789000,0.660000,0.706000,0.706000,0
2020-03-08,null,null,null,null,null,null
2020-03-09,0.484000,0.601000,0.398000,0.499000,0.499000,0
2020-03-10,0.654000,0.756000,0.565000,0.748000,0.748000,0
2020-03-11,0.707000,0.862000,0.675000,0.820000,0.820000,0
2020-03-12,0.675000,0.849000,0.638000,0.849000,0.849000,0
2020-03-13,0.944000,0.986000,0.837000,0.951000,0.951000,0
2020-03-15,null,null,null,null,null,null
2020-03-16,0.778000,0.859000,0.703000,0.728000,0.728000,0
2020-03-17,0.794000,0.997000,0.743000,0.997000,0.997000,0
2020-03-18,1.082000,1.266000,0.999000,1.266000,1.266000,0
2020-03-19,1.137000,1.225000,1.007000,1.119000,1.119000,0
2020-03-20,1.016000,1.031000,0.916000,0.938000,0.938000,0
2020-03-22,null,null,null,null,null,null
2020-03-23,0.715000,0.879000,0.715000,0.764000,0.764000,0
2020-03-24,0.823000,0.896000,0.810000,0.816000,0.816000,0
2020-03-25,0.845000,0.861000,0.783000,0.858000,0.858000,0
2020-03-26,0.787000,0.827000,0.770000,0.811000,0.811000,0
2020-03-27,0.776000,0.782000,0.731000,0.749000,0.749000,0
2020-03-29,null,null,null,null,null,null
2020-03-30,0.657000,0.681000,0.599000,0.670000,0.670000,0
2020-03-31,0.701000,0.720000,0.651000,0.698000,0.698000,0
2020-04-01,0.610000,0.643000,0.579000,0.635000,0.635000,0
2020-04-02,0.592000,0.635000,0.578000,0.627000,0.627000,0
2020-04-03,0.589000,0.607000,0.568000,0.587000,0.587000,0
2020-04-05,null,null,null,null,null,null
2020-04-06,0.645000,0.676000,0.642000,0.676000,0.676000,0
2020-04-07,0.734000,0.784000,0.725000,0.736000,0.736000,0
2020-04-08,0.763000,0.768000,0.729000,0.764000,0.764000,0
2020-04-09,0.727000,0.773000,0.713000,0.729000,0.729000,0
2020-04-12,null,null,null,null,null,null
2020-04-13,0.741000,0.759000,0.722000,0.749000,0.749000,0
2020-04-14,0.747000,0.757000,0.730000,0.752000,0.752000,0
2020-04-15,0.687000,0.688000,0.627000,0.638000,0.638000,0
2020-04-16,0.614000,0.624000,0.594000,0.609000,0.609000,0
2020-04-17,0.643000,0.658000,0.587000,0.654000,0.654000,0
2020-04-19,null,null,null,null,null,null
2020-04-20,0.624000,0.643000,0.612000,0.626000,0.626000,0
2020-04-21,0.550000,0.578000,0.543000,0.571000,0.571000,0
2020-04-22,0.583000,0.636000,0.581000,0.619000,0.619000,0
2020-04-23,0.622000,0.630000,0.594000,0.613000,0.613000,0
2020-04-24,0.602000,0.621000,0.591000,0.596000,0.596000,0
2020-04-26,null,null,null,null,null,null
2020-04-27,0.621000,0.662000,0.621000,0.656000,0.656000,0
2020-04-28,0.651000,0.652000,0.594000,0.610000,0.610000,0
2020-04-29,0.594000,0.641000,0.584000,0.627000,0.627000,0
2020-04-30,0.611000,0.625000,0.581000,0.622000,0.622000,0
2020-05-01,0.613000,0.648000,0.609000,0.642000,0.642000,0
2020-05-03,null,null,null,null,null,null
2020-05-04,0.616000,0.651000,0.615000,0.637000,0.637000,0
2020-05-05,0.659000,0.673000,0.643000,0.657000,0.657000,0
2020-05-06,0.682000,0.743000,0.681000,0.711000,0.711000,0
2020-05-07,0.695000,0.701000,0.622000,0.631000,0.631000,0
2020-05-08,0.631000,0.683000,0.623000,0.682000,0.682000,0
2020-05-10,null,null,null,null,null,null
2020-05-11,0.683000,0.726000,0.672000,0.726000,0.726000,0
2020-05-12,0.711000,0.724000,0.668000,0.678000,0.678000,0
2020-05-13,0.664000,0.672000,0.635000,0.649000,0.649000,0
2020-05-14,0.617000,0.628000,0.604000,0.619000,0.619000,0
2020-05-15,0.604000,0.649000,0.590000,0.640000,0.640000,0
2020-05-17,null,null,null,null,null,null
2020-05-18,0.666000,0.744000,0.661000,0.744000,0.744000,0
2020-05-19,0.729000,0.745000,0.705000,0.711000,0.711000,0
2020-05-20,0.703000,0.721000,0.670000,0.680000,0.680000,0
2020-05-21,0.680000,0.682000,0.654000,0.677000,0.677000,0
2020-05-22,0.657000,0.672000,0.648000,0.657000,0.657000,0
2020-05-24,null,null,null,null,null,null
2020-05-26,0.697000,0.708000,0.690000,0.698000,0.698000,0
2020-05-27,0.723000,0.723000,0.661000,0.680000,0.680000,0
2020-05-28,0.687000,0.713000,0.685000,0.705000,0.705000,0
2020-05-29,0.664000,0.685000,0.648000,0.648000,0.648000,0
2020-05-31,null,null,null,null,null,null
2020-06-01,0.667000,0.687000,0.662000,0.662000,0.662000,0
2020-06-02,0.685000,0.687000,0.661000,0.680000,0.680000,0
2020-06-03,0.708000,0.771000,0.705000,0.761000,0.761000,0
2020-06-04,0.754000,0.823000,0.744000,0.820000,0.820000,0
2020-06-05,0.867000,0.957000,0.862000,0.904000,0.904000,0
2020-06-07,null,null,null,null,null,null
2020-06-08,0.910000,0.915000,0.862000,0.884000,0.884000,0
2020-06-09,0.837000,0.840000,0.802000,0.829000,0.829000,0
2020-06-10,0.807000,0.812000,0.743000,0.748000,0.748000,0
2020-06-11,0.697000,0.700000,0.651000,0.653000,0.653000,0
2020-06-12,0.702000,0.713000,0.674000,0.699000,0.699000,0
2020-06-14,null,null,null,null,null,null
2020-06-15,0.669000,0.715000,0.661000,0.702000,0.702000,0
2020-06-16,0.761000,0.784000,0.723000,0.756000,0.756000,0
2020-06-17,0.756000,0.763000,0.728000,0.733000,0.733000,0
2020-06-18,0.704000,0.708000,0.694000,0.694000,0.694000,0
2020-06-19,0.733000,0.745000,0.687000,0.697000,0.697000,0
2020-06-21,null,null,null,null,null,null
2020-06-22,0.695000,0.709000,0.674000,0.704000,0.704000,0
2020-06-23,0.725000,0.730000,0.707000,0.709000,0.709000,0
2020-06-24,0.730000,0.730000,0.679000,0.684000,0.684000,0
2020-06-25,0.664000,0.677000,0.658000,0.674000,0.674000,0
2020-06-26,0.669000,0.671000,0.632000,0.636000,0.636000,0
2020-06-28,null,null,null,null,null,null
2020-06-29,0.651000,0.654000,0.632000,0.636000,0.636000,0
2020-06-30,0.625000,0.666000,0.619000,0.653000,0.653000,0
2020-07-01,0.681000,0.702000,0.668000,0.682000,0.682000,0
2020-07-02,0.679000,0.724000,0.664000,0.669000,0.669000,0
2020-07-05,null,null,null,null,null,null
2020-07-06,0.696000,0.712000,0.684000,0.684000,0.684000,0
2020-07-07,0.674000,0.681000,0.640000,0.650000,0.650000,0
2020-07-08,0.655000,0.674000,0.645000,0.653000,0.653000,0
2020-07-09,0.655000,0.655000,0.599000,0.605000,0.605000,0
2020-07-10,0.584000,0.637000,0.573000,0.633000,0.633000,0
2020-07-12,null,null,null,null,null,null
2020-07-13,0.648000,0.663000,0.635000,0.640000,0.640000,0
2020-07-14,0.627000,0.632000,0.600000,0.615000,0.615000,0
2020-07-15,0.650000,0.658000,0.618000,0.630000,0.630000,0
2020-07-16,0.618000,0.620000,0.600000,0.612000,0.612000,0
2020-07-17,0.604000,0.632000,0.600000,0.628000,0.628000,0
2020-07-19,null,null,null,null,null,null
2020-07-20,0.607000,0.625000,0.602000,0.620000,0.620000,0
2020-07-21,0.617000,0.622000,0.594000,0.607000,0.607000,0
