Date,Daily Cases USA
31-Dec-19,0
1-Jan-20,0
2-Jan-20,0
3-Jan-20,0
4-Jan-20,0
5-Jan-20,0
6-Jan-20,0
7-Jan-20,0
8-Jan-20,0
9-Jan-20,0
10-Jan-20,0
11-Jan-20,0
12-Jan-20,0
13-Jan-20,0
14-Jan-20,0
15-Jan-20,0
16-Jan-20,0
17-Jan-20,0
18-Jan-20,0
19-Jan-20,0
20-Jan-20,0
21-Jan-20,0.33333
22-Jan-20,0.33333
23-Jan-20,0.33333
24-Jan-20,0
25-Jan-20,0.33333
26-Jan-20,0.33333
27-Jan-20,1.33333
28-Jan-20,1
29-Jan-20,1
30-Jan-20,0
31-Jan-20,0.33333
1-Feb-20,0.66667
2-Feb-20,1
3-Feb-20,1.66667
4-Feb-20,1.33333
5-Feb-20,1
6-Feb-20,0.33333
7-Feb-20,0.33333
8-Feb-20,0.33333
9-Feb-20,0
10-Feb-20,0
11-Feb-20,0.33333
12-Feb-20,0.33333
13-Feb-20,0.66667
14-Feb-20,0.66667
15-Feb-20,0.66667
16-Feb-20,0.33333
17-Feb-20,0
18-Feb-20,0
19-Feb-20,0
20-Feb-20,0
21-Feb-20,0.33333
22-Feb-20,6.66667
23-Feb-20,6.66667
24-Feb-20,6.33333
25-Feb-20,6
26-Feb-20,6
27-Feb-20,8
28-Feb-20,2.33333
29-Feb-20,4.33333
1-Mar-20,3.33333
2-Mar-20,9.66667
3-Mar-20,12.33333
4-Mar-20,18.66667
5-Mar-20,23.33333
6-Mar-20,43.33333
7-Mar-20,71
8-Mar-20,91.33333
9-Mar-20,107
10-Mar-20,138.66667
11-Mar-20,197.33333
12-Mar-20,252.66667
13-Mar-20,303
14-Mar-20,383
15-Mar-20,546.33333
16-Mar-20,703.66667
17-Mar-20,829
18-Mar-20,1158.66667
19-Mar-20,1880.33333
20-Mar-20,3196.33333
21-Mar-20,4399
22-Mar-20,5777.33333
23-Mar-20,6985.33333
24-Mar-20,8939.33333
25-Mar-20,9494.66667
26-Mar-20,11329.33333
27-Mar-20,13183
28-Mar-20,16485
29-Mar-20,18490.33333
30-Mar-20,19011.33333
31-Mar-20,19978
1-Apr-20,21651
2-Apr-20,24565.33333
3-Apr-20,26973.33333
4-Apr-20,29449
5-Apr-20,31838.66667
6-Apr-20,30698.33333
7-Apr-20,30077
8-Apr-20,28857.33333
9-Apr-20,31499
10-Apr-20,32612.33333
11-Apr-20,34250.33333
12-Apr-20,32606.33333
13-Apr-20,30512.66667
14-Apr-20,27011.33333
15-Apr-20,26521.66667
16-Apr-20,27364.33333
17-Apr-20,29579
18-Apr-20,30882.66667
19-Apr-20,31807.33333
20-Apr-20,29452
21-Apr-20,28529.33333
22-Apr-20,29985
23-Apr-20,27647.33333
24-Apr-20,27140
25-Apr-20,21827.66667
26-Apr-20,32141.33333
27-Apr-20,32246
28-Apr-20,32642.33333
29-Apr-20,24510
30-Apr-20,24666.33333
1-May-20,27125
2-May-20,30399.33333
3-May-20,31053.33333
4-May-20,29405
5-May-20,25617.66667
6-May-20,23802
7-May-20,23520.66667
8-May-20,25446
9-May-20,26484.66667
10-May-20,26979.33333
11-May-20,24275.66667
12-May-20,21329
13-May-20,20141
14-May-20,20315.66667
15-May-20,23324.33333
16-May-20,24477.66667
17-May-20,25712.66667
18-May-20,22956
19-May-20,21733.66667
20-May-20,20228
21-May-20,21698.66667
22-May-20,22896.33333
23-May-20,24288.66667
24-May-20,23605.66667
25-May-20,21983.66667
26-May-20,20289.33333
27-May-20,19514
28-May-20,18898.33333
29-May-20,19816
30-May-20,21958.33333
31-May-20,23483.66667
1-Jun-20,22813.66667
2-Jun-20,21396.66667
3-Jun-20,20479
4-Jun-20,20443
5-Jun-20,20461
6-Jun-20,22005.66667
7-Jun-20,22847
8-Jun-20,23234.33333
9-Jun-20,21115.66667
10-Jun-20,19929.66667
11-Jun-20,19367
12-Jun-20,20720.66667
13-Jun-20,23045.33333
14-Jun-20,24687.33333
15-Jun-20,23574
16-Jun-20,21680
17-Jun-20,21068.33333
18-Jun-20,23073.66667
19-Jun-20,25675.33333
20-Jun-20,27743.33333
21-Jun-20,30609.66667
22-Jun-20,29953.33333
23-Jun-20,30447
24-Jun-20,30634.33333
25-Jun-20,33483
26-Jun-20,36669.33333
27-Jun-20,40271.66667
28-Jun-20,42987.33333
29-Jun-20,42228.66667
30-Jun-20,40905
1-Jul-20,41369.66667
2-Jul-20,45828
3-Jul-20,49775.66667
4-Jul-20,53296.33333
5-Jul-20,51020.66667
6-Jul-20,49585.33333
7-Jul-20,48101.33333
8-Jul-20,52185.33333
9-Jul-20,55456.33333
10-Jul-20,59794.33333
11-Jul-20,62845
12-Jul-20,64226.66667
13-Jul-20,62311.33333
14-Jul-20,59474.33333
15-Jul-20,61296.66667
