Date,Daily Cases World
31-Dec-19,108
1-Jan-20,54
2-Jan-20,36
3-Jan-20,22.66668
4-Jan-20,22.66668
5-Jan-20,42.66668
6-Jan-20,20
7-Jan-20,20
8-Jan-20,0
9-Jan-20,0
10-Jan-20,0
11-Jan-20,0
12-Jan-20,0
13-Jan-20,2.66664
14-Jan-20,2.66664
15-Jan-20,5
16-Jan-20,2.33331
17-Jan-20,10.33333
18-Jan-20,30.66664
19-Jan-20,211.99999
20-Jan-20,231.33332
21-Jan-20,415
22-Jan-20,425.66665
23-Jan-20,527.66665
24-Jan-20,683.33333
25-Jan-20,1110.66665
26-Jan-20,1886.66665
27-Jan-20,2598.99997
28-Jan-20,4353.33333
29-Jan-20,5437.99999
30-Jan-20,6723.33333
31-Jan-20,7045.66667
1-Feb-20,7909.00002
2-Feb-20,9045.66666
3-Feb-20,10113.66664
4-Feb-20,11591.66667
5-Feb-20,13335.66664
6-Feb-20,14589.66667
7-Feb-20,14582.66664
8-Feb-20,13959.66666
9-Feb-20,12446.33334
10-Feb-20,12116.33333
11-Feb-20,10950.99998
12-Feb-20,10227.99996
13-Feb-20,26445.33333
14-Feb-20,28641.33333
15-Feb-20,29295.99998
16-Feb-20,12032.66662
17-Feb-20,9156.66664
18-Feb-20,8419.99999
19-Feb-20,8007.33331
20-Feb-20,6020
21-Feb-20,4720.66668
22-Feb-20,3838.33335
23-Feb-20,4697.99999
24-Feb-20,4242.66665
25-Feb-20,3923.66665
26-Feb-20,3862
27-Feb-20,4963.99998
28-Feb-20,6274.66663
29-Feb-20,8428.66668
1-Mar-20,10054.66667
2-Mar-20,12234.3333
3-Mar-20,12815.33332
4-Mar-20,14704.33334
5-Mar-20,15556.83333
6-Mar-20,18678.16667
7-Mar-20,23563
8-Mar-20,27978.83331
9-Mar-20,31337.66666
10-Mar-20,33334
11-Mar-20,36155.16668
12-Mar-20,45394.83335
13-Mar-20,57006.83331
14-Mar-20,70408.00004
15-Mar-20,82082.6667
16-Mar-20,90114.1666
17-Mar-20,100227.8334
18-Mar-20,111817.5
19-Mar-20,131500.5
20-Mar-20,174161.6667
21-Mar-20,211820.1667
22-Mar-20,246605.5001
23-Mar-20,253345.4999
24-Mar-20,284056.6666
25-Mar-20,303427
26-Mar-20,351041.8333
27-Mar-20,392308
28-Mar-20,449773.3333
29-Mar-20,472708.3333
30-Mar-20,462206.6667
31-Mar-20,459979.6666
1-Apr-20,487752.4999
2-Apr-20,537471.5
3-Apr-20,567181.3333
4-Apr-20,584304.8333
5-Apr-20,601225.6666
6-Apr-20,579264
7-Apr-20,559055.8333
8-Apr-20,535705.9999
9-Apr-20,576172.3333
10-Apr-20,608698.6667
11-Apr-20,644653.5
12-Apr-20,633539.3333
13-Apr-20,592310
14-Apr-20,532394
15-Apr-20,525738.3333
16-Apr-20,546946.3333
17-Apr-20,589895.0001
18-Apr-20,598797.3333
19-Apr-20,598496.3333
20-Apr-20,568039.9999
21-Apr-20,552825.6666
22-Apr-20,569117.6667
23-Apr-20,557676
24-Apr-20,561969.9999
25-Apr-20,531600.6667
26-Apr-20,609355.3333
27-Apr-20,618597.3333
28-Apr-20,599611.3333
29-Apr-20,532149.9999
30-Apr-20,522219
1-May-20,565998.6667
2-May-20,613382.5
3-May-20,619479.1667
4-May-20,603760
5-May-20,570612.9999
6-May-20,567960.3333
7-May-20,598784.3333
8-May-20,638191
9-May-20,663398
10-May-20,661637.3333
11-May-20,620403
12-May-20,575366.9999
13-May-20,566097
14-May-20,589032.6667
15-May-20,649970.6667
16-May-20,678709.8333
17-May-20,697542.3334
18-May-20,660906.3333
19-May-20,635450.3334
20-May-20,638556.6666
21-May-20,683097.6667
22-May-20,732805.6666
23-May-20,760270.3334
24-May-20,763662.6667
25-May-20,730200.3334
26-May-20,688825
27-May-20,675999
28-May-20,696678
29-May-20,768277.3333
30-May-20,834193
31-May-20,894514
1-Jun-20,868225.6666
2-Jun-20,814730.6666
3-Jun-20,779531.3333
4-Jun-20,825630.3334
5-Jun-20,891479
6-Jun-20,942174.6667
7-Jun-20,940119
8-Jun-20,913392.6666
9-Jun-20,847920.0001
10-Jun-20,847712.6667
11-Jun-20,888484.9999
12-Jun-20,964838.3334
13-Jun-20,1010693
14-Jun-20,1013230.667
15-Jun-20,976521.6667
16-Jun-20,915423.0001
17-Jun-20,932760.9999
18-Jun-20,1061462.667
19-Jun-20,1110201.667
20-Jun-20,1194211.5
21-Jun-20,1160764.333
22-Jun-20,1138664.333
23-Jun-20,1043476.667
24-Jun-20,1052471.333
25-Jun-20,1151343
26-Jun-20,1258431.333
27-Jun-20,1314707
28-Jun-20,1338128
29-Jun-20,1288113.667
30-Jun-20,1219029.667
1-Jul-20,1252016.667
2-Jul-20,1346828.333
3-Jul-20,1391678.667
4-Jul-20,1419923.333
5-Jul-20,1396017
6-Jul-20,1396642
7-Jul-20,1324593.333
8-Jul-20,1364198.333
9-Jul-20,1451601.667
10-Jul-20,1576419.333
11-Jul-20,1632559.333
12-Jul-20,1638116.333
13-Jul-20,1560314.667
14-Jul-20,1465494.167
15-Jul-20,1469971.5
