Date,Daily deaths USA
31-Dec-19,0
1-Jan-20,0
2-Jan-20,0
3-Jan-20,0
4-Jan-20,0
5-Jan-20,0
6-Jan-20,0
7-Jan-20,0
8-Jan-20,0
9-Jan-20,0
10-Jan-20,0
11-Jan-20,0
12-Jan-20,0
13-Jan-20,0
14-Jan-20,0
15-Jan-20,0
16-Jan-20,0
17-Jan-20,0
18-Jan-20,0
19-Jan-20,0
20-Jan-20,0
21-Jan-20,0
22-Jan-20,0
23-Jan-20,0
24-Jan-20,0
25-Jan-20,0
26-Jan-20,0
27-Jan-20,0
28-Jan-20,0
29-Jan-20,0
30-Jan-20,0
31-Jan-20,0
1-Feb-20,0
2-Feb-20,0
3-Feb-20,0
4-Feb-20,0
5-Feb-20,0
6-Feb-20,0
7-Feb-20,0
8-Feb-20,0
9-Feb-20,0
10-Feb-20,0
11-Feb-20,0
12-Feb-20,0
13-Feb-20,0
14-Feb-20,0
15-Feb-20,0
16-Feb-20,0
17-Feb-20,0
18-Feb-20,0
19-Feb-20,0
20-Feb-20,0
21-Feb-20,0
22-Feb-20,0
23-Feb-20,0
24-Feb-20,0
25-Feb-20,0
26-Feb-20,0
27-Feb-20,0
28-Feb-20,0
29-Feb-20,0
1-Mar-20,0.33333
2-Mar-20,0.66667
3-Mar-20,2
4-Mar-20,2.66667
5-Mar-20,3
6-Mar-20,2
7-Mar-20,1.66667
8-Mar-20,2
9-Mar-20,3
10-Mar-20,4
11-Mar-20,3.66667
12-Mar-20,3
13-Mar-20,4.66667
14-Mar-20,6.33333
15-Mar-20,9
16-Mar-20,9.66667
17-Mar-20,12.66667
18-Mar-20,17
19-Mar-20,27
20-Mar-20,21.66667
21-Mar-20,50.66667
22-Mar-20,63.33333
23-Mar-20,107
24-Mar-20,110
25-Mar-20,153.66667
26-Mar-20,193
27-Mar-20,235.33333
28-Mar-20,302
29-Mar-20,380.33333
30-Mar-20,404.33333
31-Mar-20,487.66667
1-Apr-20,629.33333
2-Apr-20,876.33333
3-Apr-20,961
4-Apr-20,1026
5-Apr-20,1121
6-Apr-20,1198
7-Apr-20,1277.33333
8-Apr-20,1464.66667
9-Apr-20,1723.33333
10-Apr-20,1900.33333
11-Apr-20,1960.66667
12-Apr-20,1930.33333
13-Apr-20,1806
14-Apr-20,1624
15-Apr-20,1816.33333
16-Apr-20,2959
17-Apr-20,3211.66667
18-Apr-20,3665.66667
19-Apr-20,2641.66667
20-Apr-20,2466
21-Apr-20,1828.33333
22-Apr-20,2051
23-Apr-20,2034
24-Apr-20,2474.66667
25-Apr-20,1984.66667
26-Apr-20,2135
27-Apr-20,1637.66667
28-Apr-20,1742.66667
29-Apr-20,1722
30-Apr-20,2030
1-May-20,2253.66667
2-May-20,2237.66667
3-May-20,1806.33333
4-May-20,1558.66667
5-May-20,1288.66667
6-May-20,1564.33333
7-May-20,1916.33333
8-May-20,2245.33333
9-May-20,2034
10-May-20,1787.66667
11-May-20,1286
12-May-20,1168
13-May-20,1197.66667
14-May-20,1535
15-May-20,1740.66667
16-May-20,1727
17-May-20,1540.33333
18-May-20,1218.66667
19-May-20,928.33333
20-May-20,1055.66667
21-May-20,1292.33333
22-May-20,1449.66667
23-May-20,1362
24-May-20,1216
25-May-20,1006
26-May-20,737.66667
27-May-20,609.66667
28-May-20,907.33333
29-May-20,1132.33333
30-May-20,1306.66667
31-May-20,1113
1-Jun-20,922
2-Jun-20,770.33333
3-Jun-20,800
4-Jun-20,930.66667
5-Jun-20,1021.33333
6-Jun-20,987.33333
7-Jun-20,875.66667
8-Jun-20,767.66667
9-Jun-20,621.33333
10-Jun-20,734.66667
11-Jun-20,803.33333
12-Jun-20,937.66667
13-Jun-20,887.66667
14-Jun-20,837.33333
15-Jun-20,637.33333
16-Jun-20,486
17-Jun-20,509
18-Jun-20,661.66667
19-Jun-20,769
20-Jun-20,716.33333
21-Jun-20,667.33333
22-Jun-20,513.66667
23-Jun-20,430
24-Jun-20,503
25-Jun-20,668
26-Jun-20,1338
27-Jun-20,1270.33333
28-Jun-20,1186.66667
29-Jun-20,462.66667
30-Jun-20,367
1-Jul-20,623.66667
2-Jul-20,752.66667
3-Jul-20,866.66667
4-Jul-20,674.66667
5-Jul-20,538
6-Jul-20,402.33333
7-Jul-20,290.66667
8-Jul-20,601.33333
9-Jul-20,787.33333
10-Jul-20,995
11-Jul-20,872.33333
12-Jul-20,835
13-Jul-20,638
14-Jul-20,502.66667
15-Jul-20,550.66667
16-Jul-20,738
17-Jul-20,917.66667
18-Jul-20,933.33333
19-Jul-20,900
20-Jul-20,725.33333
21-Jul-20,546.66667
22-Jul-20,649
