Date,VIX
7/16/2020,27.53
7/15/2020,27.76
7/14/2020,29.52
7/13/2020,32.19
7/10/2020,27.29
7/9/2020,29.26
7/8/2020,28.08
7/7/2020,29.43
7/6/2020,27.94
7/2/2020,27.68
7/1/2020,28.62
6/30/2020,30.43
6/29/2020,31.78
6/26/2020,34.73
6/25/2020,32.22
6/24/2020,33.84
6/23/2020,31.37
6/22/2020,31.77
6/19/2020,35.12
6/18/2020,32.94
6/17/2020,33.47
6/16/2020,33.67
6/15/2020,34.4
6/12/2020,36.09
6/11/2020,40.79
6/10/2020,27.57
6/9/2020,27.57
6/8/2020,25.81
6/5/2020,24.52
6/4/2020,25.81
6/3/2020,25.66
6/2/2020,26.84
6/1/2020,28.23
5/29/2020,27.51
5/28/2020,28.59
5/27/2020,27.62
5/26/2020,28.01
5/22/2020,28.16
5/21/2020,29.53
5/20/2020,27.99
5/19/2020,30.53
5/18/2020,29.3
5/15/2020,31.89
5/14/2020,32.61
5/13/2020,35.28
5/12/2020,33.04
5/11/2020,27.57
5/8/2020,27.98
5/7/2020,31.44
5/6/2020,34.12
5/5/2020,33.61
5/4/2020,35.97
5/1/2020,37.19
4/30/2020,34.15
4/29/2020,31.23
4/28/2020,33.57
4/27/2020,33.29
4/24/2020,35.93
4/23/2020,41.38
4/22/2020,41.98
4/21/2020,45.41
4/20/2020,43.83
4/17/2020,38.15
4/16/2020,40.11
4/15/2020,40.84
4/14/2020,37.76
4/13/2020,41.17
4/9/2020,41.67
4/8/2020,43.35
4/7/2020,46.7
4/6/2020,45.24
4/3/2020,46.8
4/2/2020,50.91
4/1/2020,57.06
3/31/2020,53.54
3/30/2020,57.08
3/27/2020,65.54
3/26/2020,61
3/25/2020,63.95
3/24/2020,61.67
3/23/2020,61.59
3/20/2020,66.04
3/19/2020,72
3/18/2020,76.45
3/17/2020,75.91
3/16/2020,82.69
3/13/2020,57.83
3/12/2020,75.47
3/11/2020,53.9
3/10/2020,47.3
3/9/2020,54.46
3/6/2020,41.94
3/5/2020,39.62
3/4/2020,31.99
3/3/2020,36.82
3/2/2020,33.42
2/28/2020,40.11
2/27/2020,39.16
2/26/2020,27.56
2/25/2020,27.85
2/24/2020,25.03
2/21/2020,17.08
2/20/2020,15.56
2/19/2020,14.38
2/18/2020,14.83
2/14/2020,13.68
2/13/2020,14.15
2/12/2020,13.74
2/11/2020,15.18
2/10/2020,15.04
2/7/2020,15.47
2/6/2020,14.96
2/5/2020,15.15
2/4/2020,16.05
2/3/2020,17.97
1/31/2020,18.84
1/30/2020,15.49
1/29/2020,16.39
1/28/2020,16.28
1/27/2020,18.23
1/24/2020,14.56
1/23/2020,12.98
1/22/2020,12.91
1/21/2020,12.85
1/17/2020,12.1
1/16/2020,12.32
1/15/2020,12.42
1/14/2020,12.39
1/13/2020,12.32
1/10/2020,12.56
1/9/2020,12.54
1/8/2020,13.45
1/7/2020,13.79
1/6/2020,13.85
1/3/2020,14.02
1/2/2020,12.47
12/31/2019,13.78
12/30/2019,14.82
12/27/2019,13.43
12/26/2019,12.65
12/24/2019,12.67
12/23/2019,12.61
12/20/2019,12.51
12/19/2019,12.5
12/18/2019,12.58
12/17/2019,12.29
12/16/2019,12.14
